,FABRIC NAME,COLOR OF DRESS,PRICE,URL
10,Solid Georgette Stitched Flared/A-line Gown,Black,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itmc1cc83ca893ec?pid=GWNG3N62RYDK2YZK&lid=LSTGWNG3N62RYDK2YZKB4OEEQ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG3N62RYDK2YZK.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
11,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm0ed68678133d7?pid=GWNGBG8HKNYHEF7D&lid=LSTGWNGBG8HKNYHEF7DPH6BYX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8HKNYHEF7D.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
12,Georgette Stitched Anarkali Gown,Dark Blue,₹649,https://www.flipkart.com/fashion2wear-anarkali-gown/p/itmb47f287f3df8e?pid=GWNGHNHDDGNBKZNG&lid=LSTGWNGHNHDDGNBKZNG8CWB6P&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGHNHDDGNBKZNG.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
13,Embroidered Net Semi Stitched Anarkali Gown,Grey,₹680,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmd8ce86aad9803?pid=GWNGHU24CRQRGDBF&lid=LSTGWNGHU24CRQRGDBFQAJ36N&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGHU24CRQRGDBF.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
14,Paisley Rayon Blend Stitched Anarkali Gown,Maroon,₹769,https://www.flipkart.com/ftdiva-anarkali-gown/p/itm4f9d4c9786251?pid=GWNGHS6ZY8F3YYZC&lid=LSTGWNGHS6ZY8F3YYZCHORSHJ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGHS6ZY8F3YYZC.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
15,Printed Crepe Stitched Anarkali Gown,Pink,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm1a15b278d80fa?pid=GWNGBG8P3EPZA4PR&lid=LSTGWNGBG8P3EPZA4PRS1FEEY&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8P3EPZA4PR.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
16,Printed Crepe Stitched Anarkali Gown,Black,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itmbaf2c7d35e67a?pid=GWNGBG8KSGHVED6G&lid=LSTGWNGBG8KSGHVED6G7GS2BT&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8KSGHVED6G.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
17,Embroidered Net Semi Stitched Anarkali Gown,Maroon,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmd5d8d4fa56d26?pid=GWNGAHBUNYHZFFH5&lid=LSTGWNGAHBUNYHZFFH5UYSJNO&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGAHBUNYHZFFH5.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
18,Solid Georgette Stitched Flared/A-line Gown,Blue,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itmf2b6101bd0a26?pid=GWNG3N62CREY5ZFH&lid=LSTGWNG3N62CREY5ZFHLQPX1F&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG3N62CREY5ZFH.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
19,Embroidered Net Semi Stitched Anarkali Gown,Pink,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmf865d095cef1a?pid=GWNG5GTHBCTUMRDU&lid=LSTGWNG5GTHBCTUMRDUSL9E7M&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&spotlightTagId=BestsellerId_clo%2Fodx%2Fod7&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG5GTHBCTUMRDU.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
