S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
10,Solid Georgette Stitched Flared/A-line Gown,Black,499,₹499,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a102
11,Printed Crepe Stitched Anarkali Gown,Dark Blue,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a103
12,Georgette Stitched Anarkali Gown,Dark Blue,649,₹649,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a104
13,Embroidered Net Semi Stitched Anarkali Gown,Grey,680,₹680,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a105
14,Paisley Rayon Blend Stitched Anarkali Gown,Maroon,769,₹769,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a106
15,Printed Crepe Stitched Anarkali Gown,Pink,284,₹284,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a107
16,Printed Crepe Stitched Anarkali Gown,Black,284,₹284,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a108
17,Embroidered Net Semi Stitched Anarkali Gown,Maroon,499,₹499,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a109
18,Solid Georgette Stitched Flared/A-line Gown,Blue,499,₹499,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a110
19,Embroidered Net Semi Stitched Anarkali Gown,Pink,499,₹499,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a111
