S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
74,Embroidered Net Semi Stitched Anarkali Gown,Red,499,₹499,EXCEL_short
75,Printed Rayon Blend Stitched Anarkali Gown,Light Green,699,₹699,EXCEL_short
76,Floral Print Georgette Stitched Anarkali Gown,Pink,649,₹649,EXCEL_short
77,Net Semi Stitched Anarkali Gown,Green,499,₹499,EXCEL_short
78,Printed Crepe Stitched Anarkali Gown,Blue,284,₹284,EXCEL_short
79,Net Semi Stitched Anarkali Gown,Purple,719,₹719,EXCEL_short
80,Georgette Stitched Flared/A-line Gown,Brown,799,₹799,EXCEL_short
81,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,EXCEL_short
82,Rayon Blend Stitched Flared/A-line Gown,Black,497,₹497,EXCEL_short
83,Polka Print Rayon Blend Stitched Flared/A-line Gown,Pink,444,₹444,EXCEL_short
84,Floral Print Rayon Blend Stitched Flared/A-line Gown,Black,399,₹399,EXCEL_short
85,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,849,₹849,EXCEL_short
86,Applique Silk Blend Stitched Flared/A-line Gown,Purple,399,₹399,EXCEL_short
87,Georgette Stitched Flared/A-line Gown,Maroon,779,₹779,EXCEL_short
88,Embroidered Net Semi Stitched Anarkali Gown,Dark Green,445,₹445,EXCEL_short
89,Printed Crepe Stitched Anarkali Gown,Multicolor,284,₹284,EXCEL_short
90,Applique Silk Blend Stitched Flared/A-line Gown,Green,399,₹399,EXCEL_short
91,Polyester Stitched Flared/A-line Gown,Pink,439,₹439,EXCEL_short
92,Printed Georgette Stitched Anarkali Gown,Orange,649,₹649,EXCEL_short
93,Embroidered Net Semi Stitched Anarkali Gown,Light Blue,445,₹445,EXCEL_short
94,Printed Georgette Stitched Anarkali Gown,Yellow,816,₹816,EXCEL_short
95,Solid Georgette Stitched Flared/A-line Gown,Grey,499,₹499,EXCEL_short
96,Paisley Rayon Blend Stitched Anarkali Gown,Pink,699,₹699,EXCEL_short
97,Net Semi Stitched Anarkali Gown,Purple,499,₹499,EXCEL_short
98,Dyed Georgette Stitched Anarkali Gown,Red,499,₹499,EXCEL_short
99,Printed Viscose Rayon Stitched Anarkali Gown,Pink,649,₹649,EXCEL_short
100,Embroidered Net Semi Stitched Anarkali Gown,Light Green,445,₹445,EXCEL_short
101,Floral Print Georgette Stitched Anarkali Gown,Green,649,₹649,EXCEL_short
102,Self Design Net Stitched Flared/A-line Gown,Green,229,₹229,EXCEL_short
103,Printed Crepe Stitched Flared/A-line Gown,Pink,329,₹329,EXCEL_short
104,Printed Crepe Stitched Anarkali Gown,Maroon,284,₹284,EXCEL_short
105,Embroidered Net Stitched Flared/A-line Gown,Maroon,347,₹347,EXCEL_short
106,Cotton Silk Stitched Flared/A-line Gown,Blue,505,₹505,EXCEL_short
107,Printed Rayon Blend Stitched Anarkali Gown,Purple,726,₹726,EXCEL_short
108,Embellished Georgette Stitched Flared/A-line Gown,Black,980,₹980,EXCEL_short
109,Net Semi Stitched Anarkali Gown,Purple,799,₹799,EXCEL_short
110,Embroidered Net Semi Stitched Flared/A-line Gown,Grey,749,₹749,EXCEL_short
111,Embroidered Silk Blend Semi Stitched Anarkali Gown,Dark Blue,691,₹691,EXCEL_short
112,Self Design Net Semi Stitched Anarkali Gown,Maroon,584,₹584,EXCEL_short
