,FABRIC NAME,COLOR OF DRESS,PRICE,URL
10,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm340b399e080a6?pid=GWNGBG8HNAGCHK2H&lid=LSTGWNGBG8HNAGCHK2HBVKN4X&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8HNAGCHK2H.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
11,Printed Crepe Stitched Anarkali Gown,Blue,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm167c547e2abdc?pid=GWNGBG8MYXG7X3YU&lid=LSTGWNGBG8MYXG7X3YUWQMW0A&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8MYXG7X3YU.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
12,Solid Georgette Stitched Flared/A-line Gown,Blue,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itm0f9102ea29835?pid=GWNG3N62ZGWUCK7G&lid=LSTGWNG3N62ZGWUCK7GTQBLH5&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3N62ZGWUCK7G.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
13,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,₹436,https://www.flipkart.com/lookzilla-anarkali-gown/p/itmbf887e41bf025?pid=GWNGGG7THVFHUWPZ&lid=LSTGWNGGG7THVFHUWPZH55TUB&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGG7THVFHUWPZ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
14,Printed Crepe Stitched Anarkali Gown,Pink,₹297,https://www.flipkart.com/ne-style-anarkali-gown/p/itm96e9f6db7f68f?pid=GWNGBG8PMMCHF7ZQ&lid=LSTGWNGBG8PMMCHF7ZQXZ9MPP&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8PMMCHF7ZQ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
15,Cotton Silk Stitched Flared/A-line Gown,Maroon,₹505,https://www.flipkart.com/leriya-fashion-flared-a-line-gown/p/itm54816a7806bed?pid=GWNGA2BGUZUMJDN8&lid=LSTGWNGA2BGUZUMJDN8REZVNW&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGA2BGUZUMJDN8.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
16,Solid Georgette Stitched Flared/A-line Gown,Blue,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itmf2b6101bd0a26?pid=GWNG3N62CREY5ZFH&lid=LSTGWNG3N62CREY5ZFHLQPX1F&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3N62CREY5ZFH.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
17,Paisley Rayon Blend Stitched Anarkali Gown,Pink,₹649,https://www.flipkart.com/ftdiva-anarkali-gown/p/itma19e7735dbc2d?pid=GWNFWPGFHDR3JSVT&lid=LSTGWNFWPGFHDR3JSVTJTXQAH&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNFWPGFHDR3JSVT.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
18,Net Semi Stitched Anarkali Gown,Yellow,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmabfcad55eaab9?pid=GWNG3TXZM2UZJQEJ&lid=LSTGWNG3TXZM2UZJQEJGXNYAE&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3TXZM2UZJQEJ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
19,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,₹436,https://www.flipkart.com/lookzilla-anarkali-gown/p/itm82dce6caeb051?pid=GWNGGG7T5P3XQFH3&lid=LSTGWNGGG7T5P3XQFH3FSKA7J&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGG7T5P3XQFH3.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
20,Floral Print Rayon Blend Stitched Anarkali Gown,Pink,₹749,https://www.flipkart.com/ftdiva-anarkali-gown/p/itm82f7cbf02b4eb?pid=GWNGGGFUJFC83DSE&lid=LSTGWNGGGFUJFC83DSEUNYFB9&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGGFUJFC83DSE.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
21,Net Semi Stitched Anarkali Gown,Green,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmcb8b8b05a4719?pid=GWNG3VXZGGAH7XVY&lid=LSTGWNG3VXZGGAH7XVYQEKB6G&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3VXZGGAH7XVY.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
22,Dyed Georgette Stitched Anarkali Gown,Red,₹499,https://www.flipkart.com/femvy-anarkali-gown/p/itmd725acf4661e0?pid=GWNGC5MXFFY27BV2&lid=LSTGWNGC5MXFFY27BV2ZPBRPZ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGC5MXFFY27BV2.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
23,Embroidered Net Semi Stitched Anarkali Gown,Pink,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmf865d095cef1a?pid=GWNG5GTHBCTUMRDU&lid=LSTGWNG5GTHBCTUMRDUSL9E7M&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG5GTHBCTUMRDU.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
